family,model_name,git_sha,timestamp,status,benchmark_name,mode,policy_name,episode_seeds,train_rounds,holdout_rounds,mean_score,mean_weighted_kl,runtime_sec,notes,conclusion
replay_regime_family,query_residual_v7,78d89f9,2026-03-20T00:00:00Z,done,dev_query_residual_online50_v7,online_interactive,coverage,"[0]","7-per-holdout","8",73.95049096261504,0.10632571090665814,1836.5885654360172,"best stored 8-round online-interactive result found on disk","current frontier baseline in this worktree"
replay_regime_family,query_residual_v5,78d89f9,2026-03-20T00:00:00Z,done,dev_query_residual_online50_v5,online_interactive,coverage,"[0]","7-per-holdout","8",73.69790205855509,0.10751474147317326,214.71066869999096,"prior query_residual coverage variant","slightly behind v7"
replay_regime_family,historical_bucket_prior_v1,78d89f9,2026-03-20T00:00:00Z,done,dev_historical_bucket_online50,online_interactive,coverage,"[0]","7-per-holdout","8",66.02259493813654,0.14851270199784047,146.02360664599016,"direct historical online baseline","clear gap vs query_residual"
replay_regime_family,latent_regime,78d89f9,2026-03-20T00:00:00Z,rejected,tmp_latent_regime_online_baseline,online_interactive,coverage,"[0]","7-per-holdout","8",10.688786679634177,0.8657845213288478,129.1444685289755,"stored heuristic latent regime baseline","not competitive"
replay_regime_family,query_residual_v7__policy=exploration,230a12f,2026-03-21T00:00:00Z,done,probe_query_residual_exploration_3rounds_seed0,online_interactive,exploration_v2,"[0]","2-per-holdout","3",73.13460759566885,0.1047371709411597,1001.9870547709875,"matched 3-round single-seed probe after building current-worktree exploration dataset","tiny single-seed win over coverage; not enough alone"
replay_regime_family,query_residual_v7__policy=coverage,230a12f,2026-03-21T00:00:00Z,done,probe_query_residual_coverage_3rounds_seed0to1,online_interactive,coverage,"[0,1]","2-per-holdout","3",71.73033669596076,0.11127608838340608,1028.1434176199837,"matched 3-round multi-seed probe in current worktree after stale-cache fix","current low-noise coverage baseline on hard 3-round set"
replay_regime_family,query_residual_v7__policy=exploration,230a12f,2026-03-21T00:00:00Z,best,probe_query_residual_exploration_3rounds_seed0to1,online_interactive,exploration_v2,"[0,1]","2-per-holdout","3",73.21809822483992,0.10434132961883664,259.49613046395825,"matched 3-round multi-seed probe in current worktree","beats current-worktree coverage by +1.4878 score and lower KL"
replay_regime_family,historical_bucket_prior_v1,43c3671+local,2026-03-21T00:00:00Z,done,probe_bucket_coverage_3rounds_seed0to1,online_interactive,coverage,"[0,1]","2-per-holdout","3",70.32570776594524,0.12243478322736297,76.02273277199856,"matched hard 3-round multi-seed anchor on current worktree","strong simple anchor on current hard slice"
replay_regime_family,hazard_posterior_knn_v1__k=5,43c3671+local,2026-03-21T00:00:00Z,rejected,probe_hazard_posterior_k5_exploration_3rounds_seed0to1,online_interactive,exploration_v2,"[0,1]","2-per-holdout","3",56.66014513025621,0.20619523141923848,724.6743682520028,"first direct semimechanistic hazard family benchmark; k5 exploration was best hazard-only variant tested","far below bucket/query_residual; improve family before more hazard-only sweeps"
replay_regime_family,hazard_posterior_knn_v1__k=5,43c3671+local,2026-03-21T00:00:00Z,done,probe_hazard_posterior_k5_coverage_3rounds_seed0to1,online_interactive,coverage,"[0,1]","2-per-holdout","3",56.57852891763639,0.20660162398904636,708.4856406860054,"matched hazard-only control on same slice","coverage slightly behind exploration; difference tiny relative to family gap"
replay_regime_family,hazard_posterior_blend_v1__a=25__k=5,43c3671+local,2026-03-21T00:00:00Z,done,probe_hazard_blend_a25_k5_exploration_3rounds_seed0to1,online_interactive,exploration_v2,"[0,1]","2-per-holdout","3",70.20238161835536,0.12208611205564673,251.5891681330031,"best tested conservative blend of hazard family with bucket anchor","nearly recovers bucket but still slightly negative net contribution"
replay_regime_family,hazard_posterior_blend_v1__a=35__k=5,43c3671+local,2026-03-21T00:00:00Z,done,probe_hazard_blend_a35_k5_exploration_3rounds_seed0to1,online_interactive,exploration_v2,"[0,1]","2-per-holdout","3",69.58940465777688,0.12498103590925631,259.86422721899726,"mid-weight hazard blend","worse than a25 and bucket"
